Date;Game;Result;
15/10/2023, 09:54;France - Netherlands;1:0(0:0);
15/10/2023, 09:51;Germany - Armenia;2:0(1:0);
15/10/2023, 09:48;Spain - Belgium;0:3(0:1);
15/10/2023, 09:45;England - Argentina;2:2(1:1);
15/10/2023, 09:42;Argentina - Germany;4:0(3:0);
15/10/2023, 09:39;Belgium - Brazil;0:1(0:1);
15/10/2023, 09:36;Italy - England;1:1(0:0);
15/10/2023, 09:33;Spain - Armenia;3:0(1:0);
15/10/2023, 09:30;France - Netherlands;1:1(0:0);
15/10/2023, 09:27;Germany - Belgium;1:0(0:0);
15/10/2023, 09:24;Spain - Netherlands;2:2(0:1);
15/10/2023, 09:21;Italy - Argentina;0:1(0:0);
15/10/2023, 09:18;Armenia - England;2:2(2:1);
15/10/2023, 09:15;France - Brazil;1:3(1:1);
15/10/2023, 09:12;Argentina - Italy;3:1(1:0);
15/10/2023, 09:09;Brazil - Belgium;0:2(0:1);
15/10/2023, 09:06;Argentina - Netherlands;1:2(0:2);
15/10/2023, 09:03;Germany - Spain;2:0(1:0);
15/10/2023, 09:00;Belgium - Italy;2:2(2:2);
15/10/2023, 08:57;Brazil - England;1:1(1:0);
15/10/2023, 08:54;Armenia - France;1:1(1:1);
15/10/2023, 08:51;Germany - Brazil;2:0(2:0);
15/10/2023, 08:48;Spain - Italy;1:2(1:0);
15/10/2023, 08:45;Netherlands - Armenia;3:0(2:0);
15/10/2023, 08:42;France - Argentina;2:2(1:1);
15/10/2023, 08:39;England - Belgium;3:1(2:0);
15/10/2023, 08:36;Spain - Argentina;3:0(1:0);
15/10/2023, 08:33;Belgium - Germany;1:1(0:1);
15/10/2023, 08:30;Netherlands - England;1:2(1:1);
15/10/2023, 08:27;Armenia - Brazil;1:2(1:2);
15/10/2023, 08:24;France - Italy;2:2(2:2);
15/10/2023, 08:21;Germany - Netherlands;3:1(2:0);
15/10/2023, 08:18;Spain - Italy;1:1(1:1);
15/10/2023, 08:15;Brazil - Belgium;1:0(0:0);
15/10/2023, 08:12;France - Armenia;1:1(0:1);
15/10/2023, 08:09;Argentina - England;1:2(0:1);
15/10/2023, 08:06;England - France;0:2(0:0);
15/10/2023, 08:03;Italy - Spain;1:2(0:1);
15/10/2023, 08:00;Argentina - Armenia;2:0(1:0);
15/10/2023, 07:57;Netherlands - Brazil;0:0(0:0);
15/10/2023, 07:54;Belgium - Germany;2:2(1:0);
15/10/2023, 07:51;Armenia - Brazil;0:2(0:1);
15/10/2023, 08:00;Belgium - Netherlands;1:1(0:0);
15/10/2023, 07:57;France - Germany;3:0(1:0);
15/10/2023, 07:54;Spain - Argentina;0:2(0:2);
15/10/2023, 07:51;Germany - Belgium;3:1(1:1);
15/10/2023, 07:48;Armenia - Brazil;0:3(0:1);
15/10/2023, 07:45;Netherlands - Spain;1:1(1:1);
15/10/2023, 07:42;Argentina - France;3:1(0:0);
15/10/2023, 07:39;Italy - England;2:0(1:0);
15/10/2023, 07:36;Armenia - Germany;1:1(0:0);
15/10/2023, 07:33;Brazil - France;3:0(1:0);
15/10/2023, 07:30;Spain - Argentina;2:1(0:0);
15/10/2023, 07:27;Netherlands - England;3:1(3:0);
15/10/2023, 07:24;Belgium - Italy;1:1(0:0);
15/10/2023, 07:21;Armenia - Italy;1:2(0:1);
15/10/2023, 07:18;England - Argentina;0:1(0:0);
15/10/2023, 07:15;Belgium - Spain;1:0(0:0);
15/10/2023, 07:12;Netherlands - Brazil;1:2(1:1);
15/10/2023, 07:09;Germany - France;0:1(0:0);
15/10/2023, 07:06;Italy - England;0:0(0:0);
15/10/2023, 07:03;Argentina - Belgium;2:1(0:0);
15/10/2023, 07:00;France - Germany;1:3(0:1);
15/10/2023, 06:57;Spain - Armenia;1:0(0:0);
15/10/2023, 06:54;Brazil - Netherlands;2:0(2:0);
15/10/2023, 06:51;Netherlands - France;1:0(0:0);
15/10/2023, 06:48;Belgium - Italy;2:2(2:2);
15/10/2023, 06:45;Argentina - Spain;2:0(1:0);
15/10/2023, 06:42;Germany - England;2:1(1:0);
15/10/2023, 06:39;Brazil - Armenia;3:0(2:0);
15/10/2023, 06:36;England - Brazil;2:0(1:0);
15/10/2023, 06:33;France - Germany;0:0(0:0);
15/10/2023, 06:30;Belgium - Italy;1:0(1:0);
15/10/2023, 06:27;Armenia - Argentina;3:1(1:0);
15/10/2023, 06:24;Netherlands - Spain;4:0(2:0);
15/10/2023, 06:21;England - Belgium;2:0(0:0);
15/10/2023, 06:18;Italy - Spain;0:3(0:3);
15/10/2023, 06:15;Brazil - Netherlands;0:2(0:1);
15/10/2023, 06:12;Germany - Armenia;3:0(1:0);
15/10/2023, 06:09;France - Argentina;1:2(0:1);
15/10/2023, 06:06;Belgium - Spain;2:1(1:1);
15/10/2023, 06:03;France - Argentina;0:1(0:0);
15/10/2023, 06:00;England - Brazil;1:0(1:0);
15/10/2023, 05:57;Germany - Italy;1:1(0:0);
15/10/2023, 05:54;Armenia - Netherlands;3:1(2:0);
15/10/2023, 05:51;England - Argentina;2:1(0:0);
15/10/2023, 05:48;Brazil - Belgium;4:0(2:0);
15/10/2023, 05:45;Armenia - Italy;3:1(1:1);
15/10/2023, 05:42;Germany - France;0:1(0:1);
15/10/2023, 05:39;Belgium - France;0:1(0:1);
15/10/2023, 05:36;England - Italy;1:1(1:1);
15/10/2023, 05:33;Brazil - Argentina;3:0(2:0);
15/10/2023, 05:30;Armenia - Netherlands;0:2(0:1);
15/10/2023, 05:27;Germany - Spain;2:0(1:0);
15/10/2023, 05:24;Spain - France;1:0(0:0);
15/10/2023, 05:21;Belgium - Armenia;2:0(1:0);
15/10/2023, 05:18;England - Italy;2:1(0:0);
15/10/2023, 05:15;Germany - Argentina;1:0(0:0);
15/10/2023, 05:12;Brazil - Netherlands;2:1(1:1);
15/10/2023, 05:09;Armenia - Italy;0:2(0:2);
15/10/2023, 05:06;England - Spain;0:2(0:0);
15/10/2023, 05:03;Belgium - Germany;3:1(1:0);
15/10/2023, 05:00;Brazil - Argentina;2:1(1:1);
15/10/2023, 04:57;France - Netherlands;1:2(1:0);
15/10/2023, 04:54;Spain - France;3:1(1:1);
15/10/2023, 04:51;Germany - Brazil;0:3(0:1);
15/10/2023, 04:48;Argentina - Italy;2:0(0:0);
15/10/2023, 04:45;Netherlands - Belgium;1:0(1:0);
15/10/2023, 04:42;England - Armenia;1:0(0:0);
15/10/2023, 04:39;Italy - Argentina;2:1(1:0);
15/10/2023, 04:36;France - Germany;2:2(1:1);
15/10/2023, 04:33;Spain - Netherlands;0:3(0:0);
15/10/2023, 04:30;Belgium - Armenia;3:1(1:1);
15/10/2023, 04:27;Brazil - England;2:0(1:0);
15/10/2023, 04:24;Armenia - England;0:3(0:1);
15/10/2023, 04:21;Spain - Netherlands;0:1(0:0);
15/10/2023, 04:18;Italy - Germany;0:1(0:1);
15/10/2023, 04:15;Brazil - France;4:0(0:0);
15/10/2023, 04:12;Belgium - Argentina;1:2(1:1);
15/10/2023, 04:09;Italy - Belgium;1:1(1:0);
15/10/2023, 04:06;France - Armenia;3:1(2:0);
15/10/2023, 04:03;Germany - England;1:1(0:0);
15/10/2023, 04:00;Brazil - Spain;2:1(1:0);
15/10/2023, 03:57;Netherlands - Argentina;1:1(0:0);
15/10/2023, 03:54;Netherlands - Armenia;2:0(1:0);
15/10/2023, 03:51;Germany - Belgium;0:1(0:0);
15/10/2023, 03:48;Argentina - England;1:0(0:0);
15/10/2023, 03:45;France - Brazil;3:1(1:0);
15/10/2023, 03:42;Italy - Spain;0:1(0:0);
15/10/2023, 03:39;Germany - Belgium;4:0(0:0);
15/10/2023, 03:36;Italy - England;1:0(0:0);
15/10/2023, 03:33;Spain - Netherlands;2:0(1:0);
15/10/2023, 03:30;France - Armenia;1:2(1:1);
15/10/2023, 03:27;Argentina - Brazil;2:1(0:0);
15/10/2023, 03:24;Netherlands - England;2:0(0:0);
15/10/2023, 03:21;Germany - Armenia;3:1(0:1);
15/10/2023, 03:18;Brazil - Belgium;1:2(1:1);
15/10/2023, 03:15;Argentina - France;1:0(1:0);
15/10/2023, 03:12;Italy - Spain;3:1(2:1);
15/10/2023, 03:09;Brazil - England;4:0(0:0);
15/10/2023, 03:06;Belgium - Netherlands;1:0(0:0);
15/10/2023, 03:03;France - Germany;0:1(0:0);
15/10/2023, 03:00;Spain - Armenia;3:1(2:0);
15/10/2023, 02:57;Argentina - Italy;2:0(1:0);
15/10/2023, 02:54;Argentina - Italy;1:0(0:0);
15/10/2023, 02:51;Armenia - France;1:1(1:0);
15/10/2023, 02:48;Brazil - England;4:0(4:0);
15/10/2023, 02:45;Belgium - Netherlands;1:2(0:0);
15/10/2023, 02:42;Germany - Spain;2:2(1:2);
15/10/2023, 02:39;Armenia - Spain;0:1(0:1);
15/10/2023, 02:36;Italy - Germany;1:2(1:0);
15/10/2023, 02:33;Netherlands - Belgium;1:1(0:1);
15/10/2023, 02:30;Brazil - France;0:1(0:1);
15/10/2023, 02:27;Argentina - England;2:2(0:2);
15/10/2023, 02:24;Argentina - England;0:0(0:0);
15/10/2023, 02:21;Armenia - France;2:1(1:0);
15/10/2023, 02:18;Belgium - Netherlands;3:1(3:0);
15/10/2023, 02:15;Germany - Italy;1:1(0:1);
15/10/2023, 02:12;Italy - Brazil;4:0(3:0);
15/10/2023, 02:09;Netherlands - England;1:0(0:0);
15/10/2023, 02:06;France - Spain;1:1(0:1);
15/10/2023, 02:03;Netherlands - France;2:1(1:0);
15/10/2023, 02:00;Italy - Argentina;1:2(0:1);
15/10/2023, 01:57;Belgium - Brazil;1:2(0:2);
15/10/2023, 01:54;England - Armenia;2:2(1:1);
15/10/2023, 01:51;Germany - Spain;3:1(1:0);
15/10/2023, 01:48;Spain - Italy;1:1(1:0);
15/10/2023, 01:45;France - Belgium;2:2(0:1);
15/10/2023, 01:42;Netherlands - Germany;2:0(2:0);
15/10/2023, 01:39;England - Argentina;3:1(3:1);
15/10/2023, 01:36;Brazil - Armenia;2:1(2:0);
15/10/2023, 01:33;France - Armenia;4:0(2:0);
15/10/2023, 01:30;Argentina - England;2:1(2:0);
15/10/2023, 01:27;Netherlands - Italy;0:2(0:2);
15/10/2023, 01:24;Belgium - Brazil;0:2(0:1);
15/10/2023, 01:21;Germany - Spain;3:0(1:0);
15/10/2023, 01:18;Argentina - Netherlands;0:1(0:0);
15/10/2023, 01:15;England - France;1:2(0:2);
15/10/2023, 01:12;Belgium - Armenia;0:2(0:0);
15/10/2023, 01:09;Brazil - Italy;2:0(1:0);
15/10/2023, 01:06;Spain - Germany;1:3(1:0);
15/10/2023, 01:03;Spain - Netherlands;3:0(2:0);
15/10/2023, 01:00;England - Belgium;1:3(0:2);
15/10/2023, 00:57;Brazil - Armenia;2:0(1:0);
15/10/2023, 00:54;Argentina - Germany;2:1(0:0);
15/10/2023, 00:51;Italy - France;1:3(0:1);
15/10/2023, 00:48;Armenia - Argentina;0:0(0:0);
15/10/2023, 00:45;Belgium - Netherlands;2:1(2:1);
15/10/2023, 00:42;Italy - Brazil;1:1(1:0);
15/10/2023, 00:39;England - Spain;2:1(2:1);
15/10/2023, 00:36;Germany - France;2:1(1:0);
15/10/2023, 00:33;Belgium - France;2:0(0:0);
15/10/2023, 00:30;Brazil - Spain;1:0(1:0);
15/10/2023, 00:27;Argentina - Netherlands;2:2(1:2);
15/10/2023, 00:24;Italy - Germany;1:0(1:0);
15/10/2023, 00:21;England - Armenia;2:1(0:1);
15/10/2023, 00:18;Argentina - Belgium;1:1(1:1);
15/10/2023, 00:15;Spain - Armenia;1:1(0:1);
15/10/2023, 00:12;France - Netherlands;2:0(1:0);
15/10/2023, 00:09;Italy - Brazil;1:1(0:0);
15/10/2023, 00:06;Germany - England;1:1(1:1);
15/10/2023, 00:03;Spain - France;1:3(0:3);
15/10/2023, 00:00;Argentina - Italy;2:0(1:0);
14/10/2023, 23:57;Brazil - Netherlands;1:1(1:1);
14/10/2023, 23:54;Germany - Belgium;1:1(1:0);
14/10/2023, 23:51;England - Armenia;3:0(1:0);
14/10/2023, 23:48;Belgium - Italy;1:0(0:0);
14/10/2023, 23:45;Netherlands - Argentina;2:2(1:1);
14/10/2023, 23:42;Germany - Spain;3:1(2:1);
14/10/2023, 23:39;Armenia - Brazil;2:1(0:0);
14/10/2023, 23:36;France - England;3:1(2:0);
14/10/2023, 23:33;Italy - Spain;1:3(0:1);
14/10/2023, 23:30;England - France;2:0(1:0);
14/10/2023, 23:27;Germany - Brazil;1:2(0:0);
14/10/2023, 23:24;Netherlands - Argentina;0:3(0:0);
14/10/2023, 23:21;Armenia - Belgium;1:0(1:0);
14/10/2023, 23:18;Germany - England;1:0(0:0);
14/10/2023, 23:15;France - Belgium;2:0(1:0);
14/10/2023, 23:12;Italy - Argentina;2:0(0:0);
14/10/2023, 23:09;Armenia - Brazil;0:3(0:2);
14/10/2023, 23:06;Spain - Netherlands;1:2(0:1);
14/10/2023, 23:03;Spain - Belgium;2:1(1:0);
14/10/2023, 23:00;Germany - Armenia;0:0(0:0);
14/10/2023, 22:57;France - Argentina;2:1(1:0);
14/10/2023, 22:54;Italy - Brazil;1:1(0:0);
14/10/2023, 22:51;Netherlands - England;1:1(0:1);
14/10/2023, 22:48;Brazil - Argentina;0:0(0:0);
14/10/2023, 22:45;Armenia - England;3:0(1:0);
14/10/2023, 22:42;Italy - Netherlands;3:0(2:0);
14/10/2023, 22:39;France - Belgium;2:0(1:0);
14/10/2023, 22:36;Spain - Germany;1:0(1:0);
14/10/2023, 22:33;Germany - Argentina;1:0(0:0);
14/10/2023, 22:30;Italy - Netherlands;0:1(0:0);
14/10/2023, 22:27;Armenia - Belgium;0:1(0:1);
14/10/2023, 22:24;Spain - Brazil;1:0(1:0);
14/10/2023, 22:21;England - France;3:1(1:0);
14/10/2023, 22:18;France - Spain;3:1(0:1);
14/10/2023, 22:15;Armenia - Italy;0:3(0:0);
14/10/2023, 22:12;England - Netherlands;1:0(1:0);
14/10/2023, 22:09;Brazil - Argentina;0:2(0:1);
14/10/2023, 22:06;Germany - Belgium;2:0(1:0);
14/10/2023, 22:15;Netherlands - Belgium;1:2(0:1);
14/10/2023, 22:12;Argentina - Brazil;1:1(0:1);
14/10/2023, 22:09;Italy - Armenia;1:0(1:0);
14/10/2023, 22:06;Brazil - Belgium;1:1(0:1);
14/10/2023, 22:03;Italy - Argentina;3:1(1:0);
14/10/2023, 22:00;England - Germany;0:0(0:0);
14/10/2023, 21:57;France - Netherlands;3:0(1:0);
14/10/2023, 21:54;Armenia - Spain;0:1(0:1);
14/10/2023, 21:51;Netherlands - England;1:1(0:0);
14/10/2023, 21:48;Brazil - Armenia;0:0(0:0);
14/10/2023, 21:45;Germany - Belgium;1:1(1:0);
14/10/2023, 21:42;Italy - France;1:2(1:0);
14/10/2023, 21:39;Argentina - Spain;3:1(0:1);
14/10/2023, 21:36;Spain - Belgium;3:1(1:0);
14/10/2023, 21:33;Italy - Netherlands;1:2(1:1);
14/10/2023, 21:30;England - Armenia;3:0(2:0);
14/10/2023, 21:27;Argentina - Germany;2:1(1:0);
14/10/2023, 21:24;France - Brazil;3:0(2:0);
14/10/2023, 21:21;Belgium - Italy;1:0(0:0);
14/10/2023, 21:18;France - Argentina;1:1(0:1);
14/10/2023, 21:15;Germany - England;0:0(0:0);
14/10/2023, 21:12;Brazil - Netherlands;1:0(0:0);
14/10/2023, 21:09;Armenia - Spain;1:3(1:2);
14/10/2023, 21:06;Germany - Italy;0:1(0:0);
14/10/2023, 21:03;Belgium - France;0:0(0:0);
14/10/2023, 21:00;Brazil - Armenia;3:0(2:0);
14/10/2023, 20:57;Spain - Argentina;1:0(0:0);
14/10/2023, 20:54;Netherlands - England;2:2(1:1);
14/10/2023, 20:51;Argentina - England;1:0(0:0);
14/10/2023, 20:48;Brazil - Armenia;2:1(1:1);
14/10/2023, 20:45;Spain - Italy;2:2(1:1);
14/10/2023, 20:42;Germany - Belgium;0:1(0:1);
14/10/2023, 20:39;Netherlands - France;0:0(0:0);
14/10/2023, 20:36;Belgium - France;0:1(0:0);
14/10/2023, 20:33;England - Spain;4:0(2:0);
14/10/2023, 20:30;Italy - Germany;1:1(0:1);
14/10/2023, 20:27;Netherlands - Brazil;1:1(1:0);
14/10/2023, 20:24;Armenia - Argentina;0:3(0:2);
14/10/2023, 20:21;Argentina - Spain;0:0(0:0);
14/10/2023, 20:18;Netherlands - Belgium;0:2(0:2);
14/10/2023, 20:15;France - Armenia;2:0(0:0);
14/10/2023, 20:12;Italy - England;2:1(2:1);
14/10/2023, 20:09;Brazil - Germany;0:1(0:0);
14/10/2023, 20:06;France - Brazil;0:1(0:0);
14/10/2023, 20:03;Germany - Italy;1:1(1:0);
14/10/2023, 20:00;Argentina - Netherlands;3:1(2:1);
14/10/2023, 19:57;Armenia - Spain;2:1(2:0);
14/10/2023, 19:54;England - Belgium;0:0(0:0);
14/10/2023, 19:51;Argentina - France;1:1(0:0);
14/10/2023, 19:48;Spain - England;3:0(1:0);
14/10/2023, 19:45;Netherlands - Italy;2:1(0:1);
14/10/2023, 19:42;Brazil - Belgium;3:1(0:0);
14/10/2023, 19:39;Germany - Armenia;2:0(1:0);
14/10/2023, 19:36;Argentina - England;0:1(0:1);
14/10/2023, 19:33;Armenia - Germany;1:2(1:1);
14/10/2023, 19:30;Brazil - Italy;1:0(0:0);
14/10/2023, 19:27;France - Spain;3:1(2:1);
14/10/2023, 19:24;Netherlands - Belgium;1:1(1:1);
14/10/2023, 19:21;Argentina - Belgium;2:1(2:0);
14/10/2023, 19:18;Brazil - Armenia;0:1(0:0);
14/10/2023, 19:15;Italy - Spain;1:1(0:0);
14/10/2023, 19:12;Germany - Netherlands;3:1(1:0);
14/10/2023, 19:09;France - England;0:2(0:1);
14/10/2023, 19:06;England - Argentina;1:0(1:0);
14/10/2023, 19:03;Spain - France;1:1(0:0);
14/10/2023, 19:00;Belgium - Brazil;0:0(0:0);
14/10/2023, 18:57;Italy - Germany;1:1(0:0);
14/10/2023, 18:54;Netherlands - Armenia;3:1(2:0);
14/10/2023, 18:51;Belgium - Netherlands;2:2(2:0);
14/10/2023, 18:48;Argentina - Spain;1:0(0:0);
14/10/2023, 18:45;France - England;2:1(2:1);
14/10/2023, 18:42;Italy - Armenia;3:1(2:0);
14/10/2023, 18:39;Brazil - Germany;2:0(0:0);
14/10/2023, 18:36;Germany - France;1:2(0:2);
14/10/2023, 18:33;Brazil - Spain;1:0(0:0);
14/10/2023, 18:30;Belgium - Netherlands;1:0(1:0);
14/10/2023, 18:27;Italy - England;2:1(0:1);
14/10/2023, 18:24;Argentina - France;3:1(1:1);
14/10/2023, 18:21;Belgium - Germany;3:0(1:0);
14/10/2023, 18:18;Spain - England;2:1(1:0);
14/10/2023, 18:15;Armenia - Brazil;1:0(0:0);
14/10/2023, 18:12;Netherlands - Italy;2:1(1:0);
14/10/2023, 18:09;Italy - England;1:2(1:1);
14/10/2023, 18:06;Spain - Brazil;1:3(1:2);
14/10/2023, 18:03;Belgium - France;1:1(0:1);
14/10/2023, 18:00;Argentina - Armenia;3:1(2:0);
14/10/2023, 17:57;Germany - Netherlands;1:1(1:1);
14/10/2023, 17:54;France - Armenia;1:0(1:0);
14/10/2023, 17:51;Brazil - Spain;1:1(0:0);
14/10/2023, 17:48;Netherlands - Italy;0:0(0:0);
14/10/2023, 17:45;Germany - England;2:0(0:0);
14/10/2023, 17:42;Spain - England;3:0(1:0);
14/10/2023, 17:39;Germany - Argentina;1:3(0:2);
14/10/2023, 17:36;France - Armenia;3:1(2:0);
14/10/2023, 17:33;Brazil - Italy;2:1(0:0);
14/10/2023, 17:30;Belgium - Netherlands;1:2(0:0);
14/10/2023, 17:27;Netherlands - Italy;1:0(0:0);
14/10/2023, 17:24;France - Germany;0:2(0:0);
14/10/2023, 17:21;England - Belgium;1:2(1:1);
14/10/2023, 17:18;Brazil - Armenia;0:0(0:0);
14/10/2023, 17:15;Argentina - Spain;0:0(0:0);
14/10/2023, 17:12;Brazil - Spain;0:0(0:0);
14/10/2023, 17:09;Armenia - France;0:2(0:1);
14/10/2023, 17:06;Germany - Italy;1:2(0:2);
14/10/2023, 17:03;England - Argentina;0:2(0:1);
14/10/2023, 17:00;Netherlands - Belgium;1:0(0:0);
14/10/2023, 16:57;England - France;1:1(1:0);
14/10/2023, 16:54;Netherlands - Argentina;0:0(0:0);
14/10/2023, 16:51;Italy - Spain;3:1(1:0);
14/10/2023, 16:48;Germany - Brazil;1:3(0:1);
14/10/2023, 16:45;Belgium - Armenia;2:1(2:1);
14/10/2023, 16:42;Italy - England;4:0(1:0);
14/10/2023, 16:39;France - Spain;2:0(1:0);
14/10/2023, 16:36;Armenia - Netherlands;2:2(0:1);
14/10/2023, 16:33;Belgium - Argentina;2:0(2:0);
14/10/2023, 16:30;Armenia - Argentina;1:2(0:1);
14/10/2023, 16:27;England - France;2:1(1:1);
14/10/2023, 16:24;Italy - Belgium;3:0(1:0);
14/10/2023, 16:21;Netherlands - Germany;0:1(0:0);
14/10/2023, 16:18;Brazil - Spain;1:2(0:1);
14/10/2023, 16:15;Argentina - Spain;0:1(0:1);
14/10/2023, 16:12;Italy - Armenia;1:0(1:0);
14/10/2023, 16:09;Belgium - Brazil;2:0(0:0);
14/10/2023, 16:06;England - Germany;1:3(1:0);
14/10/2023, 16:03;Netherlands - France;2:2(0:2);
14/10/2023, 16:00;Spain - Brazil;1:3(0:1);
14/10/2023, 15:57;Belgium - Germany;2:2(1:0);
14/10/2023, 15:54;France - Italy;4:0(2:0);
14/10/2023, 15:51;Armenia - Netherlands;1:2(0:1);
14/10/2023, 15:48;England - Argentina;2:1(2:1);
14/10/2023, 15:45;Argentina - England;1:1(1:0);
14/10/2023, 15:42;Brazil - Belgium;2:1(1:0);
14/10/2023, 15:39;Spain - France;3:1(3:1);
14/10/2023, 15:36;Italy - Germany;2:0(1:0);
14/10/2023, 15:33;Armenia - Netherlands;1:3(1:2);
